audit_valid,branch_replan,correct_final_env_step,correct_success,correct_termination,episode_id,injection_off_action_l2,injection_off_action_nonzero,injection_off_final_env_step,injection_off_success,injection_off_termination,injection_off_trajectory_diverged,injection_off_trajectory_max_abs,intervention_reached,phase_bin,point_id,shuffled_action_l2,shuffled_action_nonzero,shuffled_final_env_step,shuffled_success,shuffled_termination,shuffled_trajectory_diverged,shuffled_trajectory_max_abs,status,task_id,wrong_prompt_action_l2,wrong_prompt_action_nonzero,wrong_prompt_final_env_step,wrong_prompt_success,wrong_prompt_termination,wrong_prompt_trajectory_diverged,wrong_prompt_trajectory_max_abs,zero_action_l2,zero_action_nonzero,zero_final_env_step,zero_success,zero_termination,zero_trajectory_diverged,zero_trajectory_max_abs
True,12,285,True,success,3,0.015990830957889557,True,268,True,success,True,6.33636777019795,True,early,e01,0.02514233998954296,True,307,True,success,True,7.609598657302637,completed,1,0.007662688847631216,True,268,True,success,True,12.425573654123086,0.01542498730123043,True,268,True,success,True,7.675752104986753
True,13,245,True,success,6,0.015146585181355476,True,245,True,success,True,2.8853819205449254,True,early,e02,0.020035555586218834,True,245,True,success,True,2.728472264640157,completed,2,0.006180993746966124,True,294,True,success,True,2.8580035412565032,0.014515082351863384,True,245,True,success,True,2.8645449573183193
True,24,227,True,success,0,0.013307911343872547,True,214,True,success,True,3.3168938337797234,True,early,e03,0.004511587787419558,True,233,True,success,True,3.2362278547587398,completed,3,0.0042744227685034275,True,227,True,success,True,1.1830088190898147,0.012674352154135704,True,230,True,success,True,4.116595218318263
True,21,242,True,success,8,0.025653552263975143,True,269,True,success,True,2.9303477774749926,True,early,e04,0.012329080142080784,True,250,True,success,True,2.5948652650855477,completed,4,0.004875639919191599,True,242,True,success,True,1.7048945349353648,0.025109698995947838,True,255,True,success,True,4.71367948041351
True,15,232,True,success,3,0.019593417644500732,True,232,True,success,True,1.4787313809733114,True,early,e05,0.010204360820353031,True,232,True,success,True,1.8799370981392567,completed,5,0.0029455225449055433,True,231,True,success,True,2.1914304264789677,0.02006269432604313,True,222,True,success,True,2.8312734109802613
True,14,159,True,success,2,0.02403460070490837,True,159,True,success,True,0.2597653621469751,True,early,e06,0.0115103954449296,True,161,True,success,True,1.4719077641063272,completed,6,0.004213346634060144,True,160,True,success,True,0.1679407913325489,0.02335955575108528,True,160,True,success,True,0.1767594988380854
True,23,209,True,success,8,0.025668859481811523,True,212,True,success,True,4.793402870252856,True,early,e07,0.010314088314771652,True,209,True,success,True,4.272348254972127,completed,7,0.00415993994101882,True,211,True,success,True,6.670187757000412,0.025709066540002823,True,212,True,success,True,5.2322610831329595
True,24,245,True,success,0,0.021026505157351494,True,233,True,success,True,3.149711288053898,True,early,e08,0.0057193925604224205,True,239,True,success,True,6.603044193884761,completed,8,0.0028878271114081144,True,243,True,success,True,21.146419123282637,0.021874841302633286,True,236,True,success,True,3.0647865444932476
True,15,448,True,success,7,0.014132239855825901,True,520,False,timeout,True,3.3254915705038943,True,early,e09,0.003575005801394582,True,520,False,timeout,True,1.44148164958647,completed,9,0.003696927335113287,True,520,False,timeout,True,1.4332029567489437,0.013822845183312893,True,383,True,success,True,3.604200437494839
True,15,224,True,success,6,0.010104489512741566,True,226,True,success,True,1.6486224793175694,True,early,e10,0.006809299346059561,True,227,True,success,True,1.043138425092982,completed,10,0.004574536345899105,True,231,True,success,True,2.676161266363019,0.011227788403630257,True,235,True,success,True,1.5309435484110498
